Date,Govt,Corp,Equity,Govt,Corp,Equity,
16-Jul-21,113.55,499.91,9009.89,1.1355,1.226020846,1.747647146,
19-Jul-21,114.21,502.72,8867.07,1.1421,1.232912324,1.719944369,
20-Jul-21,114.05,501.23,9001.77,1.1405,1.229258124,1.74607211,
21-Jul-21,113.65,499.54,9075.97,1.1365,1.225113427,1.760464674,
22-Jul-21,113.9,501.26,9094.95,1.139,1.229331698,1.764146222,
23-Jul-21,113.74,500.46,9187.64,1.1374,1.227369712,1.782125289,
26-Jul-21,113.68,500.22,9209.63,1.1368,1.226781116,1.786390686,
27-Jul-21,113.98,502.09,9166.27,1.1398,1.231367259,1.777980153,
28-Jul-21,114,502.66,9164.62,1.14,1.232765175,1.777660103,
29-Jul-21,113.81,501.56,9204.25,1.1381,1.230067443,1.785347128,
30-Jul-21,114,502.69,9155.21,1.14,1.232838749,1.775834846,
02-Aug-21,114.31,504.43,9138.36,1.1431,1.23710607,1.772566454,
03-Aug-21,114.33,504.29,9213.35,1.1433,1.236762722,1.787112254,
04-Aug-21,114.33,504.28,9170.76,1.1433,1.236738197,1.778851078,
05-Aug-21,114.09,502.87,9226.49,1.1409,1.233280196,1.789661018,
06-Aug-21,113.6,499.97,9243.03,1.136,1.226167995,1.79286928,
09-Aug-21,113.48,498.69,9235.05,1.1348,1.223028817,1.7913214,
10-Aug-21,113.33,497.53,9244.22,1.1333,1.220183936,1.793100104,
11-Aug-21,113.36,497.32,9267.4,1.1336,1.219668915,1.797596325,
12-Aug-21,113.3,497.11,9297.2,1.133,1.219153893,1.803376627,
13-Aug-21,113.71,499.49,9312.51,1.1371,1.224990803,1.806346306,
16-Aug-21,113.85,500.64,9337.18,1.1385,1.227811159,1.811131543,
17-Aug-21,113.82,500.26,9271.83,1.1382,1.226879215,1.798455612,
18-Aug-21,113.85,500.29,9173.93,1.1385,1.22695279,1.779465962,
19-Aug-21,114.03,501.12,9186.07,1.1403,1.228988351,1.781820756,
20-Aug-21,114,500.95,9261.31,1.14,1.228571429,1.796415049,
23-Aug-21,114.02,501.23,9341.09,1.1402,1.229258124,1.811889965,
24-Aug-21,113.81,500.14,9355.11,1.1381,1.226584917,1.814609422,
25-Aug-21,113.55,498.79,9376,1.1355,1.223274065,1.818661453,
26-Aug-21,113.61,499.24,9321.74,1.1361,1.224377682,1.808136648,
27-Aug-21,113.83,500.67,9404.15,1.1383,1.227884733,1.824121704,
30-Aug-21,113.97,501.75,9445.24,1.1397,1.230533415,1.832091926,
31-Aug-21,113.83,501.19,9433.58,1.1383,1.229160025,1.829830238,
01-Sep-21,113.84,501.01,9437.15,1.1384,1.228718578,1.83052271,
02-Sep-21,113.95,501.92,9465.47,1.1395,1.230950337,1.836015937,
03-Sep-21,113.73,500.5,9462.54,1.1373,1.227467811,1.835447605,
07-Sep-21,113.48,498.78,9430.68,1.1348,1.22324954,1.829267725,
08-Sep-21,113.65,499.68,9418.57,1.1365,1.225456775,1.82691875,
